id,bookName,authorFullName,publisherName,language,categoryName,pageCount,isbnNumber,publishDate,stockCount,shelf,interpreterName,createdAt
011e9a54-c88d-45dd-8c70-3377b6962874,Konuşan Kaftan,Kalman  Mikszath,Mavi Çati Yayinlari,Türkçe,Hikaye,144,9789752401341,30.05.2022 00:00:00,50,A1,Sadrettin Karatay,30.05.2022 21:48:20
01b5c5fa-280e-4627-a927-28c4b2f18eae,A dan Z ye Ece Ayhan,Ahmet  Soysal,Yapi Kredi Yayinlari,Türkçe,Biyografi,50,0,31.05.2003 00:00:00,12,G500,-,31.05.2022 02:30:27
05372297-1e7a-4b13-8568-57a6c5f120e9,1984,George Orwell,Ay Yayinevi,Türkçe,Yabanci Edebiyat,352,9789750718533,24.06.2021 00:00:00,22,A1,Celal Üster,27.05.2022 22:14:53
0726a204-a253-4629-909c-c974e751411d,Philebos,Necip Fazil Kisakürek,Cumhuriyet yayinevi,Türkçe,Hikaye,127,0,30.09.1998 00:00:00,1,G500,Sabri Esat Siyavuslugil,31.05.2022 02:47:25
07f3e712-1bcc-4129-822a-8f642e9b8c20,Cankaya,Falih Rifki Atay,Pozitif Yayinlari,Türkçe,Turk Tarihi,159,9789756461051,9.06.1999 00:00:00,1,G500,-,31.05.2022 02:25:49
0b071602-e1d1-4d5b-ba5f-84a47cc8b29e,Hayvan Çiftliği,Necip Fazil Kisakürek,Çilek Yayinevi,Türkçe,Yabanci Edebiyat,152,9789750719387,29.05.2022 00:00:00,15,A2,Celal Üster,29.05.2022 05:06:06
0b4d7cf0-d31d-4c06-b043-ba8c043dfbc5,Bayazit,Racine Racine,Mitos Boyut Yayinlari,Türkçe,Hikaye,112,0,31.05.2022 00:00:00,0,G500,Resat Nuri Darago,31.05.2022 03:36:47
0e9f3428-93b7-4b2f-baf4-7143ab1c14df,Raporlama Teknikleri,MICHAEL  THOMSETT,Epsilon Yayinevi,Türkçe,Isletme,176,975331034,30.05.2022 00:00:00,7,G500,Işın Tuzcular,30.05.2022 21:33:43
0fd791d8-e3f1-4295-8391-edd3b3b4c35a,Turne Mektupları,Ahmet Erol ,Yapi Kredi Yayinlari,Türkçe,Roman,88,9789753637947,30.05.2022 00:00:00,1,C1,-,30.05.2022 22:39:02
157e4ecd-500f-402b-8181-a65a9a3f3877,Tiryaki Sözleri ,Cenap Sehabettin,Maviçati Yayinlari,Türkçe,Hikaye,58,9752401384,30.05.2022 00:00:00,0,G500,-,30.05.2022 23:44:19
16f750e3-240f-4087-bd7f-55f44294b7ea,Mukavemet,Tekin  Ozbek,Birsen Yayinevi,Türkçe,Makina,186,0,28.09.1998 00:00:00,2,G500,-,31.05.2022 14:44:38
17626a1c-263e-40c8-a412-c0fffd314ba2,İcra Hukukunda İtiraz,Talih Uyar,Bilge Yayinevi,Türkçe,Hukuk,1103,1,30.05.2022 00:00:00,0,B3,-,30.05.2022 22:53:01
18605d15-ba12-4d3a-aec5-9b828a047ed5,Okuk Oncesi Egitim 2,Dr. Neriman Aral Dr. Adalet Kandir,Ya-pa Yayincilik,Türkçe,Cocuk Gelisimi,104,0,5.07.2001 00:00:00,2,G500,-,31.05.2022 03:15:15
18de126f-1d18-4f1f-96ca-7caa62de38c2,Hidrolik Kumanda Sistemleri,Mehmet Emin Zorkun,Milli Egitim Basimevi,Türkçe,Makina,274,0,31.05.1979 00:00:00,1,G500,-,31.05.2022 01:47:20
1e0384e1-cc09-49d9-80ba-639ec699b55b,Goriot Baba,Honore de Balzac ,Is Bankasi Kültür Yayinlari,Türkçe,Roman,288,6052958278,30.05.2022 00:00:00,1,C1,,30.05.2022 23:55:48
